Idcar_200m,I_est_200,Idcar_1km,I_est_1km,Idcar_nat,Groupe,Ind,Men_1ind,Men_5ind,Men_prop,Men_fmp,Ind_snv,Men_surf,Men_coll,Men_mais,Log_av45,Log_45_70,Log_70_90,Log_ap90,Log_inc,Log_soc,Ind_0_3,Ind_4_5,Ind_6_10,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_55_64,Ind_65_79,Ind_80p,Ind_inc,Men_pauv,Men,lcog_geo
CRS5490RES200mN1618800E726000,1,CRS5490RES1000mN1618000E726000,0,CRS5490RES2000mN1618000E726000,1019534,3,0.3,0,1,0.2,62742.6,133.8,0.1,1.2,0,0,0,1.2,0.1,0,0,0.1,0.2,0.3,0.3,0.3,0.5,0.8,0.4,0.1,0,0.3,1.3,97210
CRS5490RES200mN1618800E726200,1,CRS5490RES1000mN1618000E726000,0,CRS5490RES2000mN1618000E726000,1019534,12,1.4,0,4.2,0.8,250970.5,535.2,0.6,4.7,0,0,0.3,4.7,0.3,0,0,0.3,0.8,1.1,1.1,1.4,2,3.3,1.7,0.3,0,1.1,5.3,97210
CRS5490RES200mN1618800E726400,1,CRS5490RES1000mN1618000E726000,0,CRS5490RES2000mN1618000E726000,1019534,5,0.6,0,1.7,0.3,104571,223,0.2,2,0,0,0.1,2,0.1,0,0,0.1,0.3,0.5,0.5,0.6,0.8,1.4,0.7,0.1,0,0.5,2.2,97210
CRS5490RES200mN1619000E700600,0,CRS5490RES1000mN1619000E700000,0,CRS5490RES8000mN1616000E696000,1019047,123,19,3,44,10,2717302.4,4149,0,53,0,1,50,2,0,0,9,5,5,8,8,12,27,10,29,10,0,9,53,97205
CRS5490RES200mN1619000E700800,0,CRS5490RES1000mN1619000E700000,0,CRS5490RES8000mN1616000E696000,1019048,126,24,4,11,20,2302888.9,3407,41,17,0,14,3,31,10,41,4,3,11,15,10,22,27,14,16,4,0,17,58,97205
CRS5490RES200mN1619000E701200,0,CRS5490RES1000mN1619000E701000,1,CRS5490RES8000mN1616000E696000,1019033,39,2,1,11,7,886819.1,1537,10,6,0,0,2,14,0,0,4,0,1,8,0,6,8,6,5,1,0,3,16,97205
CRS5490RES200mN1619000E701400,1,CRS5490RES1000mN1619000E701000,1,CRS5490RES8000mN1616000E696000,398525,17,1,0.8,4.4,0.6,456736.2,634.6,0.3,5.3,0.1,0.1,1.3,4.1,0,0,0.8,0.5,1.2,1.7,1.6,2.6,2.7,3.1,2.5,0.2,0.1,0.9,5.6,97205
CRS5490RES200mN1619000E701600,1,CRS5490RES1000mN1619000E701000,1,CRS5490RES8000mN1616000E696000,398525,5,0.3,0.2,1.3,0.2,134334.2,186.6,0.1,1.5,0,0,0.4,1.2,0,0,0.2,0.2,0.4,0.5,0.5,0.8,0.8,0.9,0.7,0,0,0.3,1.6,97205
CRS5490RES200mN1619000E701800,1,CRS5490RES1000mN1619000E701000,1,CRS5490RES8000mN1616000E696000,398525,12,0.7,0.6,3.1,0.4,322402.1,447.9,0.2,3.7,0,0.1,0.9,2.9,0,0,0.6,0.4,0.8,1.2,1.1,1.8,1.9,2.2,1.8,0.1,0.1,0.6,3.9,97205
CRS5490RES200mN1619000E702000,1,CRS5490RES1000mN1619000E702000,0,CRS5490RES8000mN1616000E696000,1019053,16,1.6,0.4,5.2,0.7,437459.2,693.5,0.9,5.6,0,0,0.9,5.6,0,0,0.5,0.2,0.7,1.3,1.3,1.9,3.1,2.7,3.7,0.6,0,0.1,6.5,97205
CRS5490RES200mN1619000E703000,1,CRS5490RES1000mN1619000E703000,0,CRS5490RES8000mN1616000E696000,1019055,10,1.1,0.3,2.8,0.9,220297.6,353.9,0.8,3.3,0,0.4,0.5,3.2,0,0,0.3,0.2,0.4,0.5,0.8,1.8,2.1,1.9,1.5,0.5,0,1,4.1,97229
CRS5490RES200mN1619000E703200,0,CRS5490RES1000mN1619000E703000,0,CRS5490RES8000mN1616000E696000,1019059,47,6,0,12,12,754437.2,1716,9,13,0,0,5,17,0,0,2,1,2,4,2,8,12,8,7,1,0,9,22,97229
CRS5490RES200mN1619000E703400,1,CRS5490RES1000mN1619000E703000,0,CRS5490RES8000mN1616000E696000,1019055,6,0.6,0.2,1.7,0.5,132178.5,212.3,0.5,2,0,0.3,0.3,1.9,0,0,0.2,0.1,0.2,0.3,0.5,1,1.3,1.2,0.9,0.3,0,0.6,2.5,97229
CRS5490RES200mN1619000E703800,1,CRS5490RES1000mN1619000E703000,0,CRS5490RES8000mN1616000E696000,1019055,4,0.4,0.1,1.1,0.4,88119,141.5,0.3,1.3,0,0.1,0.2,1.3,0,0,0.1,0.1,0.2,0.2,0.3,0.7,0.8,0.8,0.6,0.2,0,0.4,1.6,97229
CRS5490RES200mN1619000E704200,0,CRS5490RES1000mN1619000E704000,0,CRS5490RES1000mN1619000E704000,1019102,69.5,7,3,16,6,1217759.1,2227,12,16,0,0,5,23,0,0,6,0,2,6,6.5,9,16,9,10,5,0,10,28,97229
CRS5490RES200mN1619000E704400,0,CRS5490RES1000mN1619000E704000,0,CRS5490RES1000mN1619000E704000,1019106,86,14,4,27,5,2632061.3,3658,14,23,0,0,20,17,0,0,3,0,3,5,8,13,18,14,17,5,0,5,37,97229
CRS5490RES200mN1619000E704600,0,CRS5490RES1000mN1619000E704000,0,CRS5490RES1000mN1619000E704000,1019104,57,12,1,21,3,1902536.8,3395,9,20,0,0,26,3,0,0,1,1,1,3,2,7,6,7,19,10,0,0,29,97229
CRS5490RES200mN1619000E704800,0,CRS5490RES1000mN1619000E704000,0,CRS5490RES1000mN1619000E704000,1019097,43,2,3,8,1,1581144.5,1362,8,5,0,1,4,8,0,0,6,0,2,2,3,10,3,7,8,2,0,2,13,97229
CRS5490RES200mN1619000E705600,1,CRS5490RES1000mN1619000E705000,0,CRS5490RES1000mN1619000E705000,1019087,6,1.1,0.2,2,0.5,90377.9,181.2,0.5,2.2,1,0,0.1,1.6,0,0,0,0,0,1.1,0.3,0.1,1.7,1.1,1,0.7,0,1.2,2.7,97229
CRS5490RES200mN1619000E706000,1,CRS5490RES1000mN1619000E706000,0,CRS5490RES1000mN1619000E706000,1019128,20,1.7,0.5,5.3,1.1,565448.7,759.4,1.8,5.8,0.2,0.3,2.5,4.5,0.1,0,0.5,0.3,2,1.6,1.4,1.9,5.6,2.8,2.9,1,0,1.5,7.6,97229
CRS5490RES200mN1619000E706200,0,CRS5490RES1000mN1619000E706000,0,CRS5490RES1000mN1619000E706000,1019132,36,4,2,9,3,789104.3,1046,9,6,0,0,4,11,0,0,0,1,1,5,1,6,7,7,8,0,0,3,15,97229
CRS5490RES200mN1619000E706400,1,CRS5490RES1000mN1619000E706000,0,CRS5490RES1000mN1619000E706000,1019128,5,0.4,0.1,1.3,0.3,141362.2,189.8,0.5,1.4,0.1,0.1,0.6,1.1,0,0,0.1,0.1,0.5,0.4,0.3,0.5,1.4,0.7,0.7,0.3,0,0.4,1.9,9722997209
CRS5490RES200mN1619000E706600,0,CRS5490RES1000mN1619000E706000,0,CRS5490RES1000mN1619000E706000,1019135,97,13,7,18,6,1736888.8,2198,12,21,1,1,24,7,0,0,5,5,3,6,7,15,25,12,13,6,0,12,33,97209
CRS5490RES200mN1619000E706800,1,CRS5490RES1000mN1619000E706000,0,CRS5490RES1000mN1619000E706000,1019128,3,0.3,0.1,0.8,0.2,84817.3,113.9,0.3,0.8,0,0,0.4,0.7,0,0,0.1,0,0.3,0.2,0.2,0.3,0.9,0.4,0.4,0.2,0,0.2,1.1,97209
CRS5490RES200mN1619000E707000,0,CRS5490RES1000mN1619000E707000,0,CRS5490RES1000mN1619000E707000,1019153,38,9,0,11,3,1192184.6,1859,16,4,0,0,8,12,0,0,2,0,1,1,5,3,8,5,10,3,0,1,20,97209
CRS5490RES200mN1619000E707200,0,CRS5490RES1000mN1619000E707000,0,CRS5490RES1000mN1619000E707000,1019157,63,7,2,16,6,1722719.9,2015.2,15,9,0,0,2,21,1,0,6,3,5,4,8,7,15,9,4,2,0,2,24,97209
CRS5490RES200mN1619000E707400,0,CRS5490RES1000mN1619000E707000,0,CRS5490RES1000mN1619000E707000,1019156,53,5,1,21,2,1707385.7,2282,5,18,0,0,9,14,0,0,0,1,3,2,4,3,9,19,8,4,0,2,23,97209
CRS5490RES200mN1619000E707600,0,CRS5490RES1000mN1619000E707000,0,CRS5490RES1000mN1619000E707000,1019164,78.5,10,2,23,6,2146993.4,3270,13,20,2,2,15,14,0,0,1,0,3,10.5,7,6,19,14,10,8,0,1,33,97209
CRS5490RES200mN1619000E707800,0,CRS5490RES1000mN1619000E707000,0,CRS5490RES1000mN1619000E707000,1019171,165.5,15,9,18,24,2383282.5,3817.2,41,18,0,2,11,45,1,34,12,6,18.5,30,10,21,36,13,14,4,1,29,59,97209
CRS5490RES200mN1619000E708000,1,CRS5490RES1000mN1619000E708000,0,CRS5490RES1000mN1619000E708000,1019193,24.5,5.4,0.8,6.9,0.8,503707.4,839.7,4.2,7,0.8,0.4,1.1,8.1,0.8,0,1.7,0,1.2,2.3,1.9,2.7,6.2,3.5,2.7,2.3,0,3.1,11.2,97209
CRS5490RES200mN1619000E708200,0,CRS5490RES1000mN1619000E708000,0,CRS5490RES1000mN1619000E708000,1019200,48,4,3,9,5,1326548.2,1836,9,11,0,0,5,15,0,0,2,1,2,9,1,9,11,7,6,0,0,2,20,97209
CRS5490RES200mN1619000E708400,0,CRS5490RES1000mN1619000E708000,0,CRS5490RES1000mN1619000E708000,1019196,40,2,1,11,6,820924.5,1220,3,11,0,0,7,7,0,0,1,1,1,5,1,9,8,2,11,1,0,2,14,97209
CRS5490RES200mN1619000E708600,0,CRS5490RES1000mN1619000E708000,0,CRS5490RES1000mN1619000E708000,1019201,62.5,6,2,13,4,1452566.4,1596.3,11,11,0,0,6,15,1,0,3,1,4.5,7,6,8,13,11,8,1,0,5,22,97209
CRS5490RES200mN1619000E708800,0,CRS5490RES1000mN1619000E708000,0,CRS5490RES1000mN1619000E708000,1019204,102,20,3,14,10,2219642.6,3343,32,16,0,0,13,35,0,0,5,3,5,13,11,15,21,15,7,7,0,12,48,97209
CRS5490RES200mN1619000E709000,0,CRS5490RES1000mN1619000E709000,0,CRS5490RES1000mN1619000E709000,1019221,60,13,2,21,4,1326327.1,2398,0,30,1,1,22,6,0,0,1,2,2,2,0,9,8,11,13,12,0,7,30,97209
CRS5490RES200mN1619000E709200,0,CRS5490RES1000mN1619000E709000,0,CRS5490RES1000mN1619000E709000,1019211,39,8,0,16,2,838774.2,1794,8,12,1,1,4,14,0,0,1,2,0,3,0,6,6,8,11,2,0,6,20,97209
CRS5490RES200mN1619000E709400,0,CRS5490RES1000mN1619000E709000,0,CRS5490RES1000mN1619000E709000,1019218,62,7,1,17,10,1538230.4,2537.6,10,17,0,7,6,13,1,0,2,2,3,1,9,8,13,9,11,4,0,7,27,97209
CRS5490RES200mN1619000E709600,0,CRS5490RES1000mN1619000E709000,0,CRS5490RES1000mN1619000E709000,1019227,131,26,7,29,8,2847110.4,4460,42,17,0,5,16,31,7,0,9,6,7,11,12,18,28,16,21,3,0,18,59,97209
CRS5490RES200mN1619000E709800,0,CRS5490RES1000mN1619000E709000,0,CRS5490RES1000mN1619000E709000,1019219,63.5,12,4,10,7,1425702.1,2387,14,14,0,6,12,10,0,0,1,4,6,5.5,1,13,12,5,12,3,1,9,28,97209
CRS5490RES200mN1619000E710400,1,CRS5490RES1000mN1619000E710000,0,CRS5490RES1000mN1619000E710000,1019276,4,0.6,0.1,1.4,0.3,116414.5,179.7,0.3,1.4,0,0.2,0.7,0.8,0,0,0.1,0,0.3,0.3,0.2,0.3,1,0.8,0.8,0.2,0,0.2,1.7,97209
CRS5490RES200mN1619000E710600,0,CRS5490RES1000mN1619000E710000,0,CRS5490RES1000mN1619000E710000,1019280,47.5,3,0,14,3,1599528,1764,1,17,0,0,0,18,0,0,2,1,2.5,5,5,10,13,3,6,0,0,0,18,97209
CRS5490RES200mN1619000E710800,1,CRS5490RES1000mN1619000E710000,0,CRS5490RES1000mN1619000E710000,1019276,11,1.6,0.3,3.8,0.8,320139.8,494.2,0.8,3.9,0,0.6,1.9,2.2,0,0.1,0.2,0.1,0.7,0.9,0.7,0.7,2.7,2.1,2.3,0.5,0.1,0.4,4.7,97209
CRS5490RES200mN1619000E711000,0,CRS5490RES1000mN1619000E711000,0,CRS5490RES1000mN1619000E711000,1019294,436,37,22,2,77,7161238.8,12317,165,1,0,0,0,166,0,164,23,7,36.5,52.5,57,63,90,84,17,5,1,55,166,97209
CRS5490RES200mN1619000E711200,1,CRS5490RES1000mN1619000E711000,0,CRS5490RES1000mN1619000E711000,1019286,5,0.5,0.2,1.2,0.5,98849,169,0.4,1.5,0,0.3,0.7,0.7,0.2,0,0,0.1,0.5,0.7,0.4,0.2,1.4,0.6,0.7,0.2,0.2,0.4,1.9,97209
CRS5490RES200mN1619000E711600,1,CRS5490RES1000mN1619000E711000,0,CRS5490RES1000mN1619000E711000,1019286,20,2.1,0.8,4.6,1.9,395396.1,676.1,1.7,5.9,0.2,1.1,2.7,3,0.6,0,0.2,0.4,1.9,2.7,1.5,0.6,5.7,2.5,3,0.9,0.6,1.7,7.6,9721397209
CRS5490RES200mN1619000E711800,0,CRS5490RES1000mN1619000E711000,0,CRS5490RES1000mN1619000E711000,1019289,35,7,1,11,2,1012528.2,1629,4,12,0,0,3,13,0,0,2,0,2,1,6,3,11,6,3,1,0,1,16,97213
